coursecode,regulation,subjectcode,subjectname,status
DIPLO-DME,C16,DIPLO-DME-C16-2-4-03,Thermal Engineering II,0
DIPLO-DME,C16,DIPLO-DME-C16-2-4-04,Production technology-II,0
DIPLO-DME,C16,DIPLO-DME-C16-2-4-05,Design of Machine Elements,0
DIPLO-DME,C16,DIPLO-DME-C16-2-4-06,Production Drawing,0
DIPLO-DME,C16,DIPLO-DME-C16-2-4-07,Hydraulics & Fluid Power Control Systems Lab,0
DIPLO-DME,C16,DIPLO-DME-C16-2-4-08,Communication Skills,0
DIPLO-DME,C16,DIPLO-DME-C16-2-4-09,Thermal Engineering Lab,0
DIPLO-DME,C16,DIPLO-DME-C16-2-4-10,TYPING TOOL ,0
DIPLO-DEC,C16,DIPLO-DEC-C16-3-6-01,Industrial Management & Smart Technologies,0
DIPLO-DEC,C16,DIPLO-DEC-C16-3-6-02,Microcontrollers,0
DIPLO-DEC,C16,DIPLO-DEC-C16-3-6-03,Computer Hardware & Networking,0
DIPLO-DEC,C16,DIPLO-DEC-C16-3-6-04,Optical & Mobile Communications,0
DIPLO-DEC,C16,DIPLO-DEC-C16-3-6-05,Industrial Electronics,0
DIPLO-DEC,C16,DIPLO-DEC-C16-3-6-06,Advanced Communications & Networking Lab,0
DIPLO-DEC,C16,DIPLO-DEC-C16-3-6-07,Microcontrollers lab,0
DIPLO-DEC,C16,DIPLO-DEC-C16-3-6-08,Life Skills,0
DIPLO-DEC,C16,DIPLO-DEC-C16-3-6-09,Industrial Electronics Lab,0
DIPLO-DEC,C16,DIPLO-DEC-C16-3-6-10,Computer Hardware & Networking,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-01,English,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-02,Engineering Mathematics - I,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-03,Engineering Physics,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-04,Engineering Chemistry & Environmental Studies,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-05,Electronic Devices & Power Supplies,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-06,Elements of Electrical Engineering,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-07,Engineering Drawing,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-08,BASIC ELECTRONICS LABORATORY& WIRING FUNDAMENTALS,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-09,Physics Laboratory,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-10,Chemistry Laboratory,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-11,Computer Fundamentals Laboratory,0
DIPLO-DEC,C16,DIPLO-DEC-C16-1-1-12,COMPUTER HARDWARE AND NETWORKING,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-01,English,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-02,Engineering Mathematics - I,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-03,Engineering Physics,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-04,Engineering Chemistry & Environmental Studies,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-05,ELECTRICAL ENGINEERING MATERIALS,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-06,BASIC ELECTRICAL ENGINEERING,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-07,Engineering Drawing,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-08,BASIC ELECTRICAL AND ELECTRONICS LABORATORY,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-09,Physics Laboratory,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-10,Chemistry Laboratory,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-11,Computer Fundamentals Laboratory,0
DIPLO-DEE,C16,DIPLO-DEE-C16-1-1-12,ACTIVITY (RO PLANT & GENERATOR MAINTANANCE),0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-01,English,0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-02,Engineering Mathematics - I,0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-03,Engineering Physics,0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-04,Engineering Chemistry & Environmental Studies,0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-05,ENGINEERING MECHANICS,0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-06,WORKSHOP TECHNOLOGY,0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-07,Engineering Drawing,0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-08,BASIC WORKSHOP PRACTICE,0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-09,Physics Laboratory,0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-10,Chemistry Laboratory,0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-11,Computer Fundamentals Laboratory,0
DIPLO-DME,C16,DIPLO-DME-C16-1-1-12,ACTIVITY (CARPENTAY),0
